gate 1 (cz, q56, q57)
gate 2 (h, q54)
gate 2772 (h, q74)
gate 2773 (h, q65)
gate 2774 (cz, q65, q74)
gate 2775 (cz, q65, q74)
gate 2776 (cx, q65, q74)
gate 2777 (rz, q65)
gate 2778 (h, q74)
gate 2779 (cx, q65, q74)
gate 2780 (cz, q65, q74)
gate 2781 (swap, q44, q59)
gate 2782 (swap, q28, q59)
gate 2783 (swap, q29, q59)
gate 2784 (swap, q52, q47)
gate 2785 (swap, q47, q45)
gate 2786 (cz, q47, q59)
gate 2787 (cz, q47, q59)
gate 2788 (cx, q47, q59)
gate 2789 (cz, q47, q59)
gate 2790 (cz, q47, q59)
gate 2791 (x, q59)
gate 2792 (rx, q47)
gate 2793 (z, q47)
gate 2794 (x, q59)
gate 2795 (z, q47)
gate 2796 (h, q59)
gate 2797 (cx, q47, q59)
gate 2798 (x, q47)
gate 2799 (rx, q59)
gate 2800 (x, q59)
gate 2801 (z, q47)
gate 2802 (h, q59)
gate 2803 (rx, q47)
gate 2804 (x, q59)
gate 2805 (rz, q47)
gate 2806 (cx, q47, q59)
gate 2807 (h, q47)
gate 2808 (x, q59)
gate 2809 (rx, q47)
gate 2810 (x, q59)
gate 2811 (cz, q47, q59)
gate 2812 (cz, q47, q59)
gate 2813 (z, q59)
gate 2814 (rz, q47)
gate 2815 (swap, q44, q38)
gate 2816 (cz, q28, q38)
gate 2817 (cx, q28, q38)
gate 2818 (cz, q28, q38)
gate 2819 (rx, q38)
gate 2820 (rx, q28)
gate 2821 (x, q38)
gate 2822 (rx, q28)
gate 2823 (cx, q28, q38)
gate 2824 (cx, q28, q38)
gate 2825 (cx, q28, q38)
gate 2826 (rz, q28)
gate 2827 (rz, q38)
gate 2828 (h, q38)
gate 2829 (x, q28)
gate 2830 (rx, q38)
gate 2831 (rx, q28)
gate 2832 (x, q28)
gate 2833 (z, q38)
gate 2834 (h, q38)
gate 2835 (h, q28)
gate 2836 (cz, q28, q38)
gate 2837 (cx, q28, q38)
gate 2838 (cz, q28, q38)
gate 2839 (rx, q38)
gate 2840 (h, q28)
gate 2841 (rx, q38)
gate 2842 (rz, q28)
gate 2843 (z, q38)
gate 2844 (x, q28)
gate 2845 (h, q38)
gate 2846 (x, q28)
gate 2847 (swap, q28, q29)
gate 2848 (swap, q38, q29)
gate 2849 (swap, q44, q29)
gate 2850 (swap, q29, q12)
gate 2851 (swap, q33, q29)
gate 2852 (cx, q29, q42)
gate 2853 (cz, q29, q42)
gate 2854 (h, q42)
gate 2855 (h, q29)
gate 2856 (x, q29)
gate 2857 (rz, q42)
gate 2858 (cx, q29, q42)
gate 2859 (rz, q42)
gate 2860 (h, q29)
gate 2861 (z, q29)
gate 2862 (x, q42)
gate 2863 (h, q42)
gate 2864 (rz, q29)
gate 2865 (cx, q41, q42)
gate 2866 (cx, q41, q42)
gate 2867 (cx, q41, q42)
gate 2868 (cx, q41, q42)
gate 2869 (cz, q41, q42)
gate 2870 (rx, q42)
gate 2871 (h, q41)
gate 2872 (z, q41)
gate 2873 (rz, q42)
gate 2874 (cz, q41, q42)
gate 2875 (cx, q41, q42)
gate 2876 (cx, q41, q42)
gate 2877 (cx, q41, q42)
gate 2878 (cx, q41, q42)
gate 2879 (h, q42)
gate 2880 (z, q41)
gate 2881 (rz, q42)
gate 2882 (x, q41)
gate 2883 (cx, q41, q42)
gate 2884 (rx, q42)
gate 2885 (z, q41)
gate 2886 (cz, q41, q42)
gate 2887 (cx, q41, q42)
gate 2888 (h, q42)
gate 2889 (h, q41)
gate 2890 (h, q41)
gate 2891 (rx, q42)
gate 2892 (swap, q22, q23)
gate 2893 (cx, q21, q22)
gate 2894 (cx, q23, q24)
gate 2895 (x, q23)
gate 2896 (rx, q22)
gate 2897 (rx, q21)
gate 2898 (h, q24)
gate 2899 (cx, q23, q24)
gate 2900 (h, q22)
gate 2901 (z, q21)
gate 2902 (cx, q21, q22)
gate 2903 (cx, q23, q24)
gate 2904 (cz, q21, q22)
gate 2905 (cz, q23, q24)
gate 2906 (rx, q23)
gate 2907 (h, q21)
gate 2908 (h, q24)
gate 2909 (rx, q22)
gate 2910 (cz, q23, q24)
gate 2911 (cx, q21, q22)
gate 2912 (cz, q23, q24)
gate 2913 (cz, q23, q24)
gate 2914 (swap, q63, q64)
gate 2915 (swap, q66, q64)
gate 2916 (swap, q67, q64)
gate 2917 (swap, q31, q13)
gate 2918 (swap, q13, q17)
gate 2919 (swap, q44, q12)
gate 2920 (swap, q38, q12)
gate 2921 (swap, q11, q12)
gate 2922 (swap, q24, q12)
gate 2923 (swap, q25, q12)
gate 2924 (swap, q39, q37)
gate 2925 (swap, q40, q37)
gate 2926 (swap, q29, q37)
gate 2927 (swap, q33, q37)
gate 2928 (swap, q44, q37)
gate 2929 (swap, q59, q54)
gate 2930 (swap, q38, q37)
gate 2931 (swap, q70, q69)
gate 2932 (swap, q74, q70)
gate 2933 (swap, q65, q70)
gate 2934 (swap, q70, q68)
gate 2935 (cx, q64, q70)
gate 2936 (rx, q64)
gate 2937 (rx, q70)
gate 2938 (z, q64)
gate 2939 (x, q70)
gate 2940 (cx, q64, q70)
gate 2941 (rx, q64)
gate 2942 (z, q70)
gate 2943 (cz, q64, q70)
gate 2944 (x, q64)
gate 2945 (rz, q70)
gate 2946 (h, q70)
gate 2947 (z, q64)
gate 2948 (cz, q64, q70)
gate 2949 (cx, q64, q70)
gate 2950 (x, q70)
gate 2951 (z, q64)
gate 2952 (rz, q64)
gate 2953 (h, q64)
gate 2954 (rx, q64)
gate 2955 (x, q64)
gate 2956 (h, q64)
gate 2957 (swap, q11, q37)
gate 2958 (swap, q28, q37)
gate 2959 (swap, q26, q12)
gate 2960 (swap, q12, q34)
gate 2961 (swap, q27, q12)
gate 2962 (swap, q8, q12)
gate 2963 (swap, q9, q12)
gate 2964 (cz, q12, q13)
gate 2965 (cz, q12, q13)
gate 2966 (cx, q12, q13)
gate 2967 (cz, q12, q13)
gate 2968 (cx, q12, q13)
gate 2969 (cx, q12, q13)
gate 2970 (cz, q12, q13)
gate 2971 (cx, q12, q13)
gate 2972 (swap, q47, q54)
gate 2973 (swap, q47, q37)
gate 2974 (swap, q1, q14)
gate 2975 (swap, q8, q9)
gate 2976 (swap, q22, q15)
gate 2977 (swap, q52, q16)
gate 2978 (swap, q16, q45)
gate 2979 (swap, q16, q54)
gate 2980 (swap, q16, q37)
gate 2981 (swap, q51, q54)
gate 2982 (swap, q51, q37)
gate 2983 (swap, q0, q14)
gate 2984 (swap, q2, q14)
gate 2985 (swap, q3, q14)
gate 2986 (swap, q4, q14)
gate 2987 (swap, q5, q14)
gate 2988 (swap, q6, q14)
gate 2989 (swap, q7, q14)
gate 2990 (cx, q9, q14)
gate 2991 (cz, q9, q14)
gate 2992 (x, q9)
gate 2993 (h, q14)
gate 2994 (cx, q9, q14)
gate 2995 (rx, q9)
gate 2996 (x, q14)
gate 2997 (cz, q9, q14)
gate 2998 (cz, q9, q14)
gate 2999 (x, q9)
gate 3000 (x, q14)
gate 3001 (cz, q9, q14)
gate 3002 (swap, q23, q15)
gate 3003 (swap, q47, q16)
gate 3004 (swap, q25, q15)
gate 3005 (swap, q24, q15)
gate 3006 (swap, q28, q15)
gate 3007 (cz, q15, q16)
gate 3008 (z, q16)
gate 3009 (x, q15)
gate 3010 (cz, q15, q16)
gate 3011 (cz, q15, q16)
gate 3012 (z, q16)
gate 3013 (z, q15)
gate 3014 (cz, q15, q16)
gate 3015 (rz, q16)
gate 3016 (x, q15)
gate 3017 (cx, q15, q16)
gate 3018 (cz, q15, q16)
gate 3019 (rx, q15)
gate 3020 (z, q16)
gate 3021 (swap, q55, q18)
gate 3022 (cz, q54, q55)
gate 3023 (rx, q54)
gate 3024 (rx, q55)
gate 3025 (cx, q54, q55)
gate 3026 (cx, q54, q55)
gate 3027 (h, q55)
gate 3028 (x, q54)
gate 3029 (h, q55)
gate 3030 (h, q54)
gate 3031 (cx, q54, q55)
gate 3032 (cz, q54, q55)
gate 3033 (cx, q54, q55)
gate 3034 (cz, q54, q55)
gate 3035 (swap, q46, q35)
gate 3036 (swap, q52, q45)
gate 3037 (swap, q52, q37)
gate 3038 (swap, q65, q68)
gate 3039 (swap, q74, q69)
gate 3040 (cx, q68, q69)
gate 3041 (z, q69)
gate 3042 (rx, q68)
gate 3043 (rz, q68)
gate 3044 (h, q69)
gate 3045 (cx, q68, q69)
gate 3046 (cx, q68, q69)
gate 3047 (cx, q68, q69)
gate 3048 (cz, q68, q69)
gate 3049 (rx, q69)
gate 3050 (z, q68)
gate 3051 (z, q68)
gate 3052 (x, q69)
gate 3053 (swap, q48, q45)
gate 3054 (swap, q48, q37)
gate 3055 (swap, q50, q45)
gate 3056 (swap, q50, q37)
gate 3057 (cz, q49, q50)
gate 3058 (h, q49)
gate 3059 (rx, q50)
gate 3060 (rz, q49)
gate 3061 (z, q50)
gate 3062 (cx, q49, q50)
gate 3063 (cz, q49, q50)
gate 3064 (x, q49)
gate 3065 (h, q50)
gate 3066 (h, q49)
gate 3067 (rx, q50)
gate 3068 (h, q49)
gate 3069 (h, q50)
gate 3070 (h, q49)
gate 3071 (x, q50)
gate 3072 (swap, q45, q36)
gate 3073 (cx, q36, q37)
gate 3074 (cz, q32, q45)
gate 3075 (rz, q36)
gate 3076 (h, q37)
gate 3077 (cx, q32, q45)
gate 3078 (cz, q32, q45)
gate 3079 (cz, q36, q37)
gate 3080 (h, q37)
gate 3081 (cz, q32, q45)
gate 3082 (z, q36)
gate 3083 (rz, q37)
gate 3084 (x, q36)
gate 3085 (z, q32)
gate 3086 (h, q45)
gate 3087 (rx, q45)
gate 3088 (cz, q36, q37)
gate 3089 (z, q32)
gate 3090 (x, q45)
gate 3091 (x, q32)
gate 3092 (h, q37)
gate 3093 (h, q36)
gate 3094 (z, q37)
gate 3095 (rz, q45)
gate 3096 (rx, q32)
gate 3097 (h, q36)
gate 3098 (cz, q36, q37)
gate 3099 (cx, q32, q45)
gate 3100 (cx, q36, q37)
gate 3101 (h, q45)
gate 3102 (z, q32)
gate 3103 (swap, q55, q18)
gate 3104 (swap, q10, q18)
gate 3105 (swap, q35, q18)
gate 3106 (swap, q18, q30)
gate 3107 (cx, q17, q18)
gate 3108 (cx, q17, q18)
gate 3109 (rx, q18)
gate 3110 (h, q17)
gate 3111 (rz, q17)
gate 3112 (rz, q18)
gate 3113 (rx, q18)
gate 3114 (rz, q17)
gate 3115 (rx, q17)
gate 3116 (rx, q18)
gate 3117 (h, q18)
gate 3118 (z, q17)
gate 3119 (cz, q17, q18)
gate 3120 (cz, q17, q18)
gate 3121 (swap, q10, q35)
gate 3122 (swap, q32, q46)
gate 3123 (swap, q55, q34)
gate 3124 (cz, q34, q35)
gate 3125 (rz, q35)
gate 3126 (rx, q34)
gate 3127 (rx, q35)
gate 3128 (rz, q34)
gate 3129 (cz, q34, q35)
gate 3130 (rx, q34)
gate 3131 (z, q35)
gate 3132 (cz, q34, q35)
gate 3133 (rx, q35)
gate 3134 (rx, q34)
gate 3135 (x, q35)
gate 3136 (z, q34)
gate 3137 (z, q35)
gate 3138 (rz, q34)
gate 3139 (x, q34)
gate 3140 (z, q35)
gate 3141 (swap, q10, q30)
gate 3142 (swap, q45, q46)
gate 3143 (cz, q36, q46)
gate 3144 (x, q46)
gate 3145 (x, q36)
gate 3146 (cz, q36, q46)
gate 3147 (x, q36)
gate 3148 (h, q46)
gate 3149 (x, q36)
gate 3150 (z, q46)
gate 3151 (cx, q36, q46)
gate 3152 (h, q46)
gate 3153 (x, q36)
gate 3154 (x, q46)
gate 3155 (z, q36)
gate 3156 (rx, q36)
gate 3157 (x, q46)
gate 3158 (x, q46)
gate 3159 (rx, q36)
gate 3160 (swap, q55, q26)
gate 3161 (swap, q35, q30)
gate 3162 (swap, q60, q72)
gate 3163 (swap, q34, q30)
gate 3164 (cx, q26, q30)
gate 3165 (z, q26)
gate 3166 (x, q30)
gate 3167 (x, q26)
gate 3168 (z, q30)
gate 3169 (x, q26)
gate 3170 (x, q30)
gate 3171 (rz, q30)
gate 3172 (x, q26)
gate 3173 (rz, q30)
gate 3174 (x, q26)
gate 3175 (cx, q26, q30)
gate 3176 (h, q26)
gate 3177 (rz, q30)
gate 3178 (rz, q30)
gate 3179 (x, q26)
gate 3180 (cz, q26, q30)
gate 3181 (swap, q43, q72)
gate 3182 (swap, q60, q71)
gate 3183 (swap, q43, q71)
gate 3184 (swap, q61, q72)
gate 3185 (swap, q61, q71)
gate 3186 (swap, q63, q53)
gate 3187 (swap, q63, q72)
gate 3188 (swap, q63, q71)
gate 3189 (swap, q67, q64)
gate 3190 (swap, q67, q70)
gate 3191 (swap, q66, q53)
gate 3192 (cz, q53, q64)
gate 3193 (x, q64)
gate 3194 (rx, q53)
gate 3195 (rz, q53)
gate 3196 (x, q64)
gate 3197 (cx, q53, q64)
gate 3198 (swap, q66, q72)
gate 3199 (swap, q64, q70)
gate 3200 (swap, q53, q72)
gate 3201 (swap, q70, q72)
gate 3202 (swap, q66, q71)
gate 3203 (swap, q64, q73)
gate 3204 (cz, q72, q73)
gate 3205 (cz, q72, q73)
gate 3206 (rz, q72)
gate 3207 (x, q73)
gate 3208 (x, q72)
gate 3209 (h, q73)
gate 3210 (cx, q72, q73)
gate 3211 (rx, q72)
gate 3212 (h, q73)
gate 3213 (rx, q72)
gate 3214 (x, q73)
gate 3215 (swap, q53, q71)
gate 3216 (cz, q70, q71)
gate 3217 (z, q70)
gate 3218 (rx, q71)
gate 3219 (rz, q70)
gate 3220 (rz, q71)
gate 3221 (cx, q70, q71)
gate 3222 (rx, q70)
gate 3223 (rz, q71)
gate 3224 (z, q71)
gate 3225 (h, q70)
gate 3226 (x, q70)
gate 3227 (z, q71)
gate 3228 (rz, q71)
gate 3229 (rz, q70)
gate 3230 (cx, q70, q71)
